Run,Evt,vertexX,vertexY,vertexZ,selected,selected_cheated_2d,selected_cheated_2d_vtx,selected_cheated_2d_vtx_3d,selected_cheated_2d_vtx_3d_mva
1119,40,331.3186340332031,-99.5489273071289,-181.58160400390625,1.0,1.0,1.0,1.0,1.0
1120,21,180.0541534423828,-12.998969078063965,-42.81381607055664,1.0,1.0,1.0,1.0,1.0
1124,7,171.39732360839844,8.245655059814453,-579.6746826171875,0.0,1.0,1.0,1.0,1.0
1124,14,161.95472717285156,-42.53850555419922,488.91845703125,0.0,0.0,0.0,0.0,0.0
1125,9,184.24476623535156,-130.88929748535156,-168.70291137695312,1.0,1.0,1.0,1.0,1.0
1125,17,228.6290740966797,-87.07127380371094,282.2059326171875,1.0,1.0,1.0,1.0,1.0
1125,32,251.3468475341797,-56.25566101074219,-97.91584777832031,0.0,0.0,1.0,1.0,1.0
1126,14,150.89096069335938,24.515419006347656,718.5236206054688,0.0,0.0,0.0,0.0,0.0
1127,15,210.02334594726562,33.77543640136719,222.06065368652344,1.0,1.0,1.0,1.0,1.0
1129,17,218.1398162841797,-31.140377044677734,-456.49835205078125,1.0,1.0,1.0,1.0,1.0
113,11,283.9237060546875,-35.24978256225586,-129.22415161132812,1.0,1.0,1.0,1.0,1.0
1130,7,222.62940979003906,-45.35006332397461,-677.08056640625,0.0,0.0,0.0,0.0,0.0
1130,22,93.23869323730469,-66.3122329711914,-403.5483093261719,0.0,0.0,0.0,0.0,0.0
1130,31,147.21359252929688,-31.327848434448242,79.4862060546875,0.0,0.0,0.0,0.0,0.0
1132,33,139.48814392089844,-21.151805877685547,203.2882843017578,1.0,1.0,1.0,1.0,1.0
1132,38,187.4552459716797,-93.74520874023438,676.547119140625,1.0,1.0,1.0,1.0,1.0
1134,26,231.63404846191406,-110.86103820800781,638.0632934570312,0.0,0.0,0.0,0.0,0.0
1136,28,252.09161376953125,6.488290309906006,132.7528839111328,0.0,0.0,0.0,1.0,1.0
1136,30,110.21257781982422,71.45359802246094,-318.81561279296875,1.0,1.0,1.0,1.0,1.0
1136,37,228.07504272460938,23.793603897094727,-206.68458557128906,1.0,1.0,1.0,1.0,1.0
1138,3,251.39076232910156,-38.105247497558594,-464.63372802734375,1.0,0.0,0.0,0.0,0.0
1138,12,137.4400634765625,31.489534378051758,-19.422258377075195,0.0,0.0,0.0,0.0,0.0
1140,22,149.8970184326172,-146.01156616210938,-202.93260192871094,0.0,0.0,1.0,1.0,1.0
1140,33,191.24037170410156,-32.27743911743164,393.65576171875,1.0,1.0,1.0,1.0,1.0
1141,1,227.25804138183594,32.92110061645508,-9.563712120056152,1.0,0.0,0.0,0.0,0.0
1146,18,115.71585083007812,7.37384033203125,110.51434326171875,0.0,1.0,1.0,1.0,1.0
1146,37,189.72714233398438,-75.3868637084961,333.25177001953125,1.0,1.0,1.0,1.0,1.0
1147,1,240.527099609375,-41.49127197265625,-591.8605346679688,1.0,1.0,1.0,1.0,1.0
1148,34,140.97926330566406,-153.90560913085938,-351.3138732910156,1.0,1.0,1.0,1.0,1.0
1148,36,220.12734985351562,-19.017255783081055,-141.32257080078125,0.0,0.0,0.0,0.0,0.0
115,5,219.87649536132812,20.880191802978516,411.1689453125,1.0,1.0,1.0,1.0,1.0
1150,7,106.7489242553711,88.35089874267578,320.1239013671875,1.0,0.0,0.0,0.0,0.0
1150,13,247.0387420654297,28.49125099182129,-346.47027587890625,1.0,1.0,1.0,0.0,0.0
1150,16,234.6333465576172,-89.81729888916016,-230.68838500976562,1.0,1.0,1.0,1.0,1.0
1151,1,208.15597534179688,70.11104583740234,197.64187622070312,0.0,1.0,1.0,1.0,1.0
1151,19,215.14793395996094,-77.35800170898438,170.65090942382812,0.0,0.0,0.0,0.0,0.0
1151,39,237.92176818847656,-88.0875015258789,-374.7390441894531,1.0,1.0,1.0,1.0,1.0
1152,15,159.02403259277344,32.32045364379883,-770.4833984375,0.0,0.0,0.0,0.0,0.0
1154,37,186.5274200439453,58.82985305786133,-198.8739776611328,1.0,1.0,1.0,1.0,1.0
1156,21,234.52545166015625,92.38426971435547,106.13126373291016,1.0,0.0,1.0,1.0,1.0
1157,29,130.27798461914062,18.77001190185547,752.4122924804688,1.0,1.0,1.0,1.0,1.0
1157,30,324.1589050292969,-39.558509826660156,-484.8926696777344,0.0,1.0,1.0,1.0,1.0
1159,37,303.022705078125,-93.19258117675781,127.14412689208984,0.0,0.0,0.0,0.0,0.0
1161,16,163.62391662597656,-63.83067321777344,-476.00714111328125,1.0,1.0,1.0,1.0,1.0
1162,29,284.7771911621094,-18.30905532836914,676.2075805664062,1.0,1.0,1.0,1.0,1.0
1162,39,138.02047729492188,3.409895420074463,-188.1899871826172,1.0,1.0,1.0,1.0,1.0
1165,18,205.73451232910156,-104.99230194091797,70.10747528076172,1.0,0.0,0.0,0.0,0.0
1166,17,105.5419921875,-28.423173904418945,258.854248046875,1.0,1.0,1.0,1.0,1.0
1166,31,148.00827026367188,31.645477294921875,141.03240966796875,0.0,0.0,0.0,0.0,0.0
1167,25,143.43463134765625,-22.035192489624023,185.9369659423828,1.0,0.0,0.0,0.0,0.0
1169,27,233.43655395507812,-122.84635162353516,-46.76798629760742,1.0,1.0,1.0,1.0,1.0
1170,26,316.8173522949219,24.59799575805664,-399.13104248046875,1.0,1.0,1.0,1.0,1.0
1170,35,172.94210815429688,-86.60888671875,627.2273559570312,0.0,0.0,0.0,0.0,0.0
1171,29,126.59529876708984,-88.8857192993164,588.6861572265625,0.0,0.0,0.0,1.0,1.0
1172,14,196.04403686523438,23.88572120666504,-734.6598510742188,0.0,0.0,0.0,0.0,0.0
1173,21,195.13064575195312,-20.897375106811523,-326.28875732421875,0.0,0.0,0.0,0.0,0.0
1173,23,209.708251953125,-17.325597763061523,-263.963134765625,0.0,0.0,0.0,0.0,0.0
1175,40,242.966552734375,-53.22167205810547,571.6605834960938,1.0,1.0,1.0,1.0,1.0
1176,12,276.8915710449219,-74.52351379394531,757.0263061523438,0.0,1.0,1.0,1.0,1.0
1177,27,194.19566345214844,-31.628801345825195,-646.6637573242188,1.0,1.0,1.0,1.0,1.0
1178,8,313.33184814453125,-107.79623413085938,-287.08380126953125,0.0,0.0,0.0,0.0,0.0
1178,21,283.0457763671875,-52.40010452270508,129.5425262451172,1.0,1.0,1.0,1.0,1.0
1179,1,318.7961730957031,-7.612729549407959,-758.6689453125,0.0,1.0,1.0,1.0,1.0
1179,8,244.90159606933594,-111.96216583251953,-29.475921630859375,0.0,1.0,1.0,1.0,1.0
1179,14,125.23561096191406,47.955257415771484,-96.66925811767578,1.0,1.0,1.0,1.0,1.0
1180,30,134.59634399414062,-22.977825164794922,-365.2958984375,1.0,1.0,1.0,1.0,1.0
1181,3,276.4403991699219,65.8700942993164,-497.9740295410156,1.0,1.0,1.0,1.0,1.0
1183,40,157.58831787109375,32.285213470458984,-255.65892028808594,0.0,1.0,1.0,1.0,1.0
1184,16,143.03187561035156,-152.8904266357422,-672.1016235351562,1.0,1.0,1.0,1.0,1.0
1184,35,192.8610382080078,-41.16217803955078,333.2433166503906,0.0,0.0,0.0,1.0,1.0
1187,9,163.61160278320312,95.75106811523438,266.9577941894531,0.0,1.0,1.0,1.0,1.0
